,video_title,video_link,video_views,video_duration,video_availability,channel_id
19,A tale of two problem solvers (Average cube shadows),https://www.youtube.com/watch?v=ltLUadnCyi0,2546740,40:06,1,UCYO_jab_esuFRV4b17AJtAw
25,How (and why) to raise e to the power of a matrix | DE6,https://www.youtube.com/watch?v=O85OWBJ2ayo,2585157,27:07,1,UCYO_jab_esuFRV4b17AJtAw
42,"e^(iπ) in 3.14 minutes, using dynamics | DE5",https://www.youtube.com/watch?v=v0YEaeIClKY,2701009,4:08,1,UCYO_jab_esuFRV4b17AJtAw
22,From Newton’s method to Newton’s fractal (which Newton knew nothing about),https://www.youtube.com/watch?v=-RdOwhmqP5s,2733746,26:06,1,UCYO_jab_esuFRV4b17AJtAw
33,"Why “probability of 0” does not mean “impossible” | Probabilities of probabilities, part 2",https://www.youtube.com/watch?v=ZA4JkHKZM50,2751652,10:01,1,UCYO_jab_esuFRV4b17AJtAw
14,How to lie using visual proofs,https://www.youtube.com/watch?v=VYQVlVoWoPY,2856969,18:49,1,UCYO_jab_esuFRV4b17AJtAw
12,Researchers thought this was a bug (Borwein integrals),https://www.youtube.com/watch?v=851U557j6HE,2885204,17:26,1,UCYO_jab_esuFRV4b17AJtAw
29,"Group theory, abstraction, and the 196,883-dimensional monster",https://www.youtube.com/watch?v=mH0oCDa74tE,2896203,21:58,1,UCYO_jab_esuFRV4b17AJtAw
10,But what is the Central Limit Theorem?,https://www.youtube.com/watch?v=zeJD6dqJ5lo,3049261,31:15,1,UCYO_jab_esuFRV4b17AJtAw
61,"The other way to visualize derivatives | Chapter 12, Essence of calculus",https://www.youtube.com/watch?v=CfW845LNObM,3505854,14:26,1,UCYO_jab_esuFRV4b17AJtAw
47,"Differential equations, a tourist's guide | DE1",https://www.youtube.com/watch?v=p_di4Zn4wz4,3813552,27:16,1,UCYO_jab_esuFRV4b17AJtAw
38,"Bayes theorem, the geometry of changing beliefs",https://www.youtube.com/watch?v=HZGCoVF3YvM,3925111,15:11,1,UCYO_jab_esuFRV4b17AJtAw
60,"Divergence and curl:  The language of Maxwell's equations, fluid flow, and more",https://www.youtube.com/watch?v=rB83DpBJQsE,3994457,15:42,1,UCYO_jab_esuFRV4b17AJtAw
